date,Desired Position,Actuator X Position,Actuator Y Position,Actuator Z Position,Desired Load,Measured Load,Motor X Current,Motor Y Current,Motor Z Current,Motor X Voltage,Motor Y Voltage,Motor Z Voltage,Motor X Temperature,Motor Y Temperature,Motor Z Temperature,Nut X Temperature,Nut Y Temperature,Nut Z Temperature,Ambient Temperature
2010-09-03 12:21:49.000,,,,63.66125,,11.922786,0.287636,-0.537973,-1.640525,-0.777645,-1.729641,,25.238523,31.977553,26.105797,27.050118,30.106367,,24.161716
2010-09-03 12:21:49.010,,,,63.891939,,8.521048,0.3695,3.283526,0.448752,0.584469,22.15097,,26.19097,29.643799,25.166024,27.6065,32.76141,,24.164937
2010-09-03 12:21:49.020,,,,64.15102,,-3.823966,0.356437,0.432205,0.325085,-2.195478,-2.260221,,25.547662,28.143091,25.784194,26.807813,27.829243,,24.164937
2010-09-03 12:21:49.030,,,,64.289433,,-33.369696,0.454848,0.319859,0.396498,-1.958699,2.886174,,25.228892,27.590527,26.017404,26.804613,27.669047,,24.158494
2010-09-03 12:21:49.040,,,,64.463337,,-27.636124,0.386918,0.761404,0.453977,-2.402465,-2.365909,,25.945023,27.361281,25.472001,27.675435,27.046919,,24.155272
2010-09-03 12:21:49.050,,,,64.548514,,-30.681227,0.327697,1.594852,-0.091204,-2.5004,-2.406239,,25.945023,27.596916,25.472001,26.889661,26.57499,,24.164937
2010-09-03 12:21:49.060,,,,64.722418,,-50.241209,0.348599,2.37779,-0.638126,-3.039722,0.499625,,25.468792,27.043721,25.389908,26.571788,27.279513,,24.158494
2010-09-03 12:21:49.070,,,,64.637241,,-72.407358,0.344244,3.671077,-1.44109,-0.028546,16.554957,,25.780988,27.669047,24.992083,26.961899,28.923629,,24.152051
2010-09-03 12:21:49.080,,,,64.406552,,-94.518639,0.375596,3.140698,-2.478324,-0.006079,22.952552,,25.866219,26.732351,25.156391,27.989384,30.415559,,24.155272
2010-09-03 12:21:49.090,,,,64.403003,,-98.688508,0.345115,2.807144,-0.918554,-0.436565,23.087578,,25.557287,27.367673,24.689011,26.817412,30.968064,,24.158494
2010-09-03 12:21:49.100,,,,64.417199,,-90.897437,0.297216,1.202077,-1.078798,-2.99772,12.1841,,25.787401,27.046919,25.314222,27.439839,26.653677,,24.161716
