date,Desired Position,Actuator X Position,Actuator Y Position,Actuator Z Position,Desired Load,Measured Load,Motor X Current,Motor Y Current,Motor Z Current,Motor X Voltage,Motor Y Voltage,Motor Z Voltage,Motor X Temperature,Motor Y Temperature,Motor Z Temperature,Nut X Temperature,Nut Y Temperature,Nut Z Temperature,Ambient Temperature
2010-09-03 11:16:35.000,,,,80.14658,,-1.40983,0.356437,-0.861946,0.419141,0.29664,-24.122128,,24.455674,31.984401,26.11273,27.057037,25.876361,,23.614022
2010-09-03 11:16:35.010,,,,80.33468,,-2.616898,0.283282,0.379951,0.363404,0.446689,-23.188874,,26.191493,32.140006,25.718716,26.506418,27.999481,,23.614022
2010-09-03 11:16:35.020,,,,80.526328,,-1.793898,0.316376,0.345986,0.326826,0.449512,-23.27952,,25.485356,31.987563,25.800748,27.374584,29.334629,,23.617244
2010-09-03 11:16:35.030,,,,80.728623,,-0.99833,0.230157,0.22319,0.328568,0.44112,-23.516888,,25.327582,32.531958,25.800748,26.273444,28.864947,,23.620465
2010-09-03 11:16:35.040,,,,80.84929,,0.922006,0.305925,0.355566,0.285023,0.45066,-23.558882,,25.797545,33.150224,25.797545,27.528491,28.39162,,23.617244
2010-09-03 11:16:35.050,,,,80.966409,,3.171542,0.29199,0.098652,0.325085,0.44839,-23.727931,,24.613738,33.383054,25.955163,26.821135,29.644319,,23.617244
2010-09-03 11:16:35.060,,,,81.051586,,7.56088,0.345115,-0.375116,0.372113,0.450021,-23.914048,,25.561019,32.68423,25.561019,26.348982,29.409686,,23.617244
2010-09-03 11:16:35.070,,,,81.229038,,8.905115,0.364275,-0.529264,0.297216,0.361021,-24.228439,,25.242262,31.981239,26.424508,27.682349,28.858582,,23.623687
2010-09-03 11:16:35.080,,,,81.328411,,4.598077,0.219706,-0.93423,-0.380341,0.402676,-24.211604,,25.324376,33.383054,25.876361,27.292822,30.659745,,23.620465
2010-09-03 11:16:35.090,,,,81.374548,,1.141473,0.331181,-0.096429,0.324214,0.209728,-24.411847,,25.876361,32.451065,26.11273,26.742475,23.347745,,23.614022
2010-09-03 11:16:35.100,,,,81.449078,,-0.422229,0.282411,0.253671,0.298087,0.442186,-23.720294,,25.715513,33.224692,26.109529,27.053842,29.015196,,23.620465
2010-09-03 11:16:35.110,,,,81.452627,,-1.24523,0.38866,0.228415,0.447881,0.454515,-23.767664,,25.409681,32.690545,26.434104,27.142033,29.572477,,23.6108
