date,Desired Position,Actuator X Position,Actuator Y Position,Actuator Z Position,Desired Load,Measured Load,Motor X Current,Motor Y Current,Motor Z Current,Motor X Voltage,Motor Y Voltage,Motor Z Voltage,Motor X Temperature,Motor Y Temperature,Motor Z Temperature,Nut X Temperature,Nut Y Temperature,Nut Z Temperature,Ambient Temperature
2010-09-03 09:06:02.000,,,,41.720883,,23.389935,0.031593,0.338148,0.420883,-0.769646,3.084754,,25.17589,24.148749,22.246611,25.17589,24.227839,,22.515413
2010-09-03 09:06:02.010,,,,42.086439,,21.112965,0.298958,0.288507,0.309408,-6.136938,2.279902,,25.422202,24.15837,22.57382,25.422202,25.343311,,22.518634
2010-09-03 09:06:02.020,,,,42.345523,,10.688284,-0.021532,0.356437,0.389531,-0.766085,3.135772,,24.711711,23.76273,22.097415,24.395595,24.948659,,22.518634
2010-09-03 09:06:02.030,,,,42.817551,,3.006941,-0.672091,0.404336,0.339019,-0.751383,3.240322,,24.468234,24.389184,22.408635,25.258008,25.967684,,22.518634
2010-09-03 09:06:02.040,,,,43.108576,,1.388373,-1.100571,0.302441,0.305054,-0.748361,3.102648,,25.103359,23.996946,22.649957,24.550475,23.996946,,22.521856
2010-09-03 09:06:02.050,,,,43.232794,,0.894572,-1.799027,0.392144,0.37908,-1.505136,2.751124,,24.869689,24.15837,22.25627,25.106559,24.395595,,22.521856
2010-09-03 09:06:02.060,,,,43.399601,,1.168906,-1.756354,0.356437,0.368629,-24.869492,-1.596887,,23.677142,23.201851,22.64674,25.336913,25.021214,,22.518634
2010-09-03 09:06:02.070,,,,43.690627,,4.762677,-0.28193,0.288507,0.420883,-23.869707,-1.674045,,24.869689,23.921026,24.000153,25.264407,25.027616,,22.521856
2010-09-03 09:06:02.080,,,,43.942612,,13.102421,0.268476,0.342502,0.359049,-5.293166,2.285259,,24.003361,23.369971,23.528398,24.556883,24.951861,,22.518634
2010-09-03 09:06:02.090,,,,44.095222,,14.913023,0.332052,0.302441,0.305054,-3.357732,2.679899,,24.316533,23.44598,23.366759,24.948659,24.948659,,22.521856
2010-09-03 09:06:02.100,,,,44.269127,,10.194484,-0.179164,0.376467,0.274573,-0.771035,2.927222,,25.17589,24.069646,23.119376,25.491487,24.939055,,22.515413
2010-09-03 09:06:02.110,,,,44.446582,,6.98478,-0.550165,0.422625,0.33989,-0.743086,3.005417,,24.784301,24.231045,22.567385,25.336913,24.547271,,22.521856
2010-09-03 09:06:02.120,,,,44.545956,,7.451147,-1.003901,0.421754,0.32073,-0.722623,2.99275,,25.261208,23.521976,23.046529,24.629498,24.39239,,22.521856
